meetingDate,Members,meetingType
"2018-09-16 19:00:00",6,"General Meeting"
"2018-09-23 19:00:00",7,"Recruitment Meeting"
"2018-10-21 19:00:00",16,"General Meeting"
"2018-10-28 19:00:00",12,"Guest Speaker"
"2018-11-04 19:00:00",7,"General Meeting"
"2018-11-11 19:00:00",8,"Work Day"
"2018-11-18 19:00:00",6,"General Meeting"
"2018-12-02 19:00:00",2,"Work Day"
"2018-12-09 19:00:00",6,"General Meeting"
